seed,component,method,metric,value
50,detector,proxy_only,known_acceptance_rate,0.9775
50,detector,proxy_only,known_rejection_rate,0.0225
50,detector,proxy_only,HEDGES_unknown_recall,1.0
50,detector,proxy_only,DNA_Aeon_unknown_recall,0.79
50,detector,proxy_only,combined_unknown_recall,0.895
50,detector,proxy_only,unknown_forced_known_rate,0.105
50,detector,proxy_only,unknown_misclassified_as_BCH_rate,0.1
50,detector,proxy_only,known_type_macro_f1,0.7665865937605069
50,detector,proxy_only,known_type_macro_f1_change_from_closed,-0.019580475534753283
50,detector,proxy_only,AUROC,0.9894875
50,detector,proxy_only,AUPR,0.9816712023313867
50,detector,proxy_only,FPR_at_95_TPR,0.075
50,detector,three_state,known_acceptance_rate,0.9675
50,detector,three_state,known_rejection_rate,0.0325
50,detector,three_state,HEDGES_unknown_recall,0.03
50,detector,three_state,DNA_Aeon_unknown_recall,0.06
50,detector,three_state,combined_unknown_recall,0.045
50,detector,three_state,unknown_forced_known_rate,0.105
50,detector,three_state,unknown_misclassified_as_BCH_rate,0.1
50,detector,three_state,known_type_macro_f1,0.7625061505658521
50,detector,three_state,known_type_macro_f1_change_from_closed,-0.02366091872940801
50,detector,three_state,AUROC,0.9894875
50,detector,three_state,AUPR,0.9816712023313867
50,detector,three_state,FPR_at_95_TPR,0.075
50,detector,three_state,known_ecc_output_rate,0.9675
50,detector,three_state,uncertain_ecc_output_rate,0.3
50,detector,three_state,unknown_ecc_output_rate,0.02
50,detector,three_state,unknown_risk_coverage,0.895
50,detector,three_state,known_uncertain_rate,0.025
50,detector,three_state,unknown_uncertain_rate,0.85
50,detector,three_state,decisive_coverage_ecc,0.7
50,detector,three_state,decisive_accuracy_ecc,0.9428571428571428
50,detector,three_state,manual_review_rate_all_archives,0.2571428571428571
50,detector,three_state,unknown_direct_known_rate,0.105
50,detector,G_all,known_acceptance_rate,0.9775
50,detector,G_all,known_rejection_rate,0.0225
50,detector,G_all,HEDGES_unknown_recall,1.0
50,detector,G_all,DNA_Aeon_unknown_recall,0.79
50,detector,G_all,combined_unknown_recall,0.895
50,detector,G_all,unknown_forced_known_rate,0.105
50,detector,G_all,unknown_misclassified_as_BCH_rate,0.1
50,detector,G_all,known_type_macro_f1,0.7665865937605069
50,detector,G_all,known_type_macro_f1_change_from_closed,-0.019580475534753283
50,detector,G_all,AUROC,0.9894875
50,detector,G_all,AUPR,0.9816712023313867
50,detector,G_all,FPR_at_95_TPR,0.075
